1,講義棟601講義室,講義棟6階,46,74,85
1,講義棟602講義室,講義棟6階,50,125,83
1,講義棟603大講義室,講義棟6階,125,110,76
1,講義棟604講義室,講義棟6階,203,74,81
1,講義棟605講義室,講義棟6階,199,125,79
1,講義棟610印刷室,講義棟6階,47,300,61
1,講義棟611院生研究室,講義棟6階,47,320,62
1,講義棟612院生研究室,講義棟6階,47,346,63
1,講義棟613ゼミ室,講義棟6階,47,373,64
1,講義棟621研究室,講義棟6階,47,393,65
1,講義棟614研究室,講義棟6階,47,448,67
1,講義棟615ゼミ室,講義棟6階,47,466,68
1,講義棟616研究室,講義棟6階,47,484,69
1,講義棟617研究室,講義棟6階,47,504,70
1,講義棟618ゼミ室,講義棟6階,47,522,71
1,講義棟619研究室,講義棟6階,47,540,72
1,講義棟620共同研究室,講義棟6階,47,660,73
1,講義棟630研究室,講義棟6階,201,300,54
1,講義棟631ゼミ室,講義棟6階,201,320,53
1,講義棟632研究室,講義棟6階,201,336,52
1,講義棟633研究室,講義棟6階,201,354,51
1,講義棟646ゼミ室,講義棟6階,201,373,50
1,講義棟647研究室,講義棟6階,201,393,49
1,講義棟634研究室,講義棟6階,201,448,47
1,講義棟635ゼミ室,講義棟6階,201,466,46
1,講義棟636研究室,講義棟6階,201,484,45
1,講義棟637研究室,講義棟6階,201,504,44
1,講義棟638ゼミ室,講義棟6階,201,522,43
1,講義棟639研究室,講義棟6階,201,540,42
1,講義棟640研究室,講義棟6階,201,596,41
1,講義棟641ゼミ室,講義棟6階,201,614,40
1,講義棟642研究室,講義棟6階,201,632,39
1,講義棟643研究室,講義棟6階,201,650,38
1,講義棟644ゼミ室,講義棟6階,201,670,37
1,講義棟645研究室,講義棟6階,201,687,36
0,講義棟6-36,講義棟6階,176,687,35,37
0,講義棟6-37,講義棟6階,176,670,34,36,38
0,講義棟6-38,講義棟6階,176,650,33,37,39
0,講義棟6-39,講義棟6階,176,632,32,38,40
0,講義棟6-40,講義棟6階,176,614,31,39,41
0,講義棟6-41,講義棟6階,176,596,30,40,42
0,講義棟6-42,講義棟6階,176,540,29,41,43
0,講義棟6-43,講義棟6階,176,522,28,42,44
0,講義棟6-44,講義棟6階,176,504,27,43,45
0,講義棟6-45,講義棟6階,176,484,26,44,46
0,講義棟6-46,講義棟6階,176,466,25,45,47
0,講義棟6-47,講義棟6階,176,448,24,46,48
0,講義棟6-48,講義棟6階,176,421,47,49,66
0,講義棟6-49,講義棟6階,176,393,23,48,50
0,講義棟6-50,講義棟6階,176,373,22,49,51
0,講義棟6-51,講義棟6階,176,354,21,50,52
0,講義棟6-52,講義棟6階,176,336,20,51,53
0,講義棟6-53,講義棟6階,176,320,19,52,54
0,講義棟6-54,講義棟6階,176,300,18,53,55
0,講義棟6-55,講義棟6階,176,272,54,56
0,講義棟6-56,講義棟6階,172,272,55,57,78
0,講義棟6-57,講義棟6階,124,272,56,58,59
0,講義棟6-58,講義棟6階,124,293,57
0,講義棟6-59,講義棟6階,80,272,57,60,74
0,講義棟6-60,講義棟6階,73,272,59,61
0,講義棟6-61,講義棟6階,73,300,6,60,62
0,講義棟6-62,講義棟6階,73,320,7,61,63
0,講義棟6-63,講義棟6階,73,346,8,62,64
0,講義棟6-64,講義棟6階,73,373,9,63,65
0,講義棟6-65,講義棟6階,73,393,10,64,66
0,講義棟6-66,講義棟6階,73,421,65,67,48
0,講義棟6-67,講義棟6階,73,448,11,66,68
0,講義棟6-68,講義棟6階,73,466,12,67,69
0,講義棟6-69,講義棟6階,73,484,13,68,70
0,講義棟6-70,講義棟6階,73,504,14,69,71
0,講義棟6-71,講義棟6階,73,522,15,70,72
0,講義棟6-72,講義棟6階,73,540,16,71,73
0,講義棟6-73,講義棟6階,73,660,17,72
0,講義棟6-74,講義棟6階,80,186,59,75
0,講義棟6-75,講義棟6階,82,186,74,76,83
0,講義棟6-76,講義棟6階,125,186,3,75,77
0,講義棟6-77,講義棟6階,167,186,76,78,79
0,講義棟6-78,講義棟6階,172,186,77,56
0,講義棟6-79,講義棟6階,167,125,5,77,80
0,講義棟6-80,講義棟6階,167,74,79,81
0,講義棟6-81,講義棟6階,184,74,4,80,82
0,講義棟6-82,講義棟6階,184,63,81
0,講義棟6-83,講義棟6階,82,125,2,75,84
0,講義棟6-84,講義棟6階,82,74,83,85
0,講義棟6-85,講義棟6階,66,74,1,84,86
0,講義棟6-86,講義棟6階,66,63,85